id,name,parent_id
1,Warrior,
2,Barbarian,1
3,Illrigger,1
4,Symbiote,1
5,Druid,
6,Shaman,5
7,Timekeeper,5
8,Warden,5
9,Warlock,
10,Witch,9
11,Summoner,9
12,Death,9
13,Cleric,
14,Diviner,13
15,Radiance,13
16,Cultist,13
17,Mage,
18,Artificer,17
19,Wizard,17
20,Sorcerer,17
21,Ranger,
22,Gunslinger,21
23,Wild Card,21
24,Hunter,
25,Rogue,24
26,Nightmare,24
27,Tricker,24
28,Bard,
29,Tamer,28
30,Puppeteer,28
31,Performer,28
32,Fighter,
33,Pugilist,32
34,Monk,32
35,Captain,32
36,Knight,
37,Paladin,36
38,King,36
39,Blade Dancer,36
40,Scholar,
41,Doorman,40
42,Janitor,40
43,Messenger,40
