id,class_id,ability_id
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,6
7,3,7
8,3,8
9,3,9
10,4,10
11,4,11
12,4,12
13,5,13
14,5,14
15,5,15
16,6,16
17,6,17
18,6,18
19,7,19
20,7,20
21,7,21
22,8,22
23,8,23
24,8,24
25,9,25
26,9,26
27,9,27
28,10,28
29,10,29
30,10,30
31,11,31
32,11,32
33,11,33
34,12,34
35,12,35
36,12,36
37,13,37
38,13,38
39,13,39
40,14,40
41,14,41
42,14,42
43,15,43
44,15,44
45,15,45
46,16,46
47,16,47
48,16,48
49,17,49
50,17,50
51,17,51
52,18,52
53,18,53
54,18,54
55,19,55
56,19,56
57,19,57
58,20,58
59,20,59
60,20,60
61,21,61
62,21,62
63,21,63
64,22,64
65,22,65
66,22,66
67,23,67
68,23,68
69,23,69
70,24,70
71,24,71
72,24,72
73,25,73
74,25,74
75,25,75
76,26,76
77,26,77
78,26,78
79,27,79
80,27,80
81,27,81
82,28,82
83,28,83
84,28,84
85,29,85
86,29,86
87,29,87
88,30,88
89,30,89
90,30,90
91,31,91
92,31,92
93,31,93
94,32,94
95,32,95
96,32,96
97,33,97
98,33,98
99,33,99
100,34,100
101,34,101
102,34,102
103,35,103
104,35,104
105,35,105
106,36,106
107,36,107
108,36,108
109,37,109
110,37,110
111,37,111
112,38,112
113,38,113
114,38,114
115,39,115
116,39,116
117,39,117
118,40,118
119,40,119
120,40,120
121,41,121
122,41,122
123,41,123
124,42,124
125,42,125
126,42,126
127,43,127
128,43,128
129,43,129
