id,class_id,passive_id
1,1,1
2,1,2
3,2,3
4,2,4
5,3,5
6,3,6
7,4,7
8,4,8
9,5,9
10,5,10
11,6,11
12,6,12
13,7,13
14,7,14
15,8,15
16,8,16
17,9,17
18,9,18
19,10,19
20,10,20
21,11,21
22,11,22
23,12,23
24,12,24
25,13,25
26,13,26
27,14,13
28,14,27
29,15,28
30,15,29
31,16,30
32,16,31
33,17,32
34,17,33
35,18,34
36,18,35
37,19,36
38,19,37
39,20,38
40,20,39
41,21,40
42,21,41
43,22,42
44,22,43
45,23,44
46,23,45
47,24,46
48,24,47
49,25,48
50,25,49
51,26,50
52,26,51
53,27,52
54,27,53
55,28,54
56,28,55
57,29,56
58,29,57
59,30,58
60,30,59
61,31,60
62,31,61
63,32,62
64,32,63
65,33,64
66,33,65
67,34,66
68,34,67
69,35,68
70,35,69
71,36,70
72,36,71
73,37,72
74,37,73
75,38,74
76,38,75
77,39,76
78,39,77
79,40,78
80,40,79
81,41,80
82,41,81
83,42,82
84,42,83
85,43,84
86,43,85
