id,class_id,stat_id,type_id
1,1,1,1
2,1,3,1
3,1,2,2
4,1,5,2
5,2,1,1
6,2,2,1
7,2,3,2
8,3,1,1
9,3,4,1
10,3,3,2
11,4,3,1
12,4,1,2
13,5,5,1
14,5,6,2
15,6,5,1
16,6,4,1
17,6,2,2
18,7,5,1
19,7,6,2
20,8,5,1
21,8,3,1
22,8,6,2
23,9,6,1
24,9,3,1
25,9,5,2
26,10,4,1
27,10,5,1
28,10,6,2
29,11,4,1
30,11,5,1
31,11,6,2
32,12,5,1
33,12,3,1
34,12,6,2
35,13,6,1
36,13,5,1
37,13,2,2
38,14,6,1
39,14,5,1
40,14,2,2
41,15,4,1
42,15,6,2
43,16,5,1
44,16,6,2
45,17,4,1
46,17,5,1
47,17,6,2
48,17,2,2
49,18,5,1
50,18,6,2
51,19,4,1
52,19,5,2
53,20,4,1
54,20,5,1
55,20,2,2
56,21,2,1
57,21,1,2
58,22,1,1
59,22,5,2
60,23,2,1
61,23,5,1
62,23,1,2
63,23,4,2
64,24,2,1
65,24,1,1
66,24,6,2
67,25,2,1
68,25,1,2
69,26,2,1
70,26,5,1
71,26,1,2
72,27,2,1
73,27,6,1
74,27,5,2
75,28,6,1
76,28,2,1
77,28,5,2
78,29,6,1
79,29,5,1
80,29,2,2
81,30,6,1
82,30,5,1
83,30,2,2
84,31,5,1
85,31,6,1
86,31,4,2
87,32,1,1
88,32,3,2
89,33,1,1
90,33,2,2
91,34,5,1
92,34,3,2
93,35,1,1
94,35,2,2
95,36,3,1
96,36,1,2
97,37,6,1
98,37,3,1
99,37,1,2
100,38,3,1
101,38,1,1
102,38,6,2
103,39,2,1
104,39,5,1
105,39,1,2
106,40,5,1
107,40,6,2
108,41,3,1
109,41,5,2
110,42,5,1
111,42,6,2
112,43,5,1
113,43,6,2
