id,name,def
1,Strength Buffer,+1 STR.
2,Broken Blade,"At below 50% HP, gain +1 STR."
3,Mediate,Taking damage with [Rage] grants a stack of [Mediate].
4,Frustration,Increase crit damage by 50%.
5,Helish Aura,The party becomes immune to fire damage.
6,HelSpawn,Gain +1 CON.
7,Self Regen,Gain permanent [Regeneration].
8,Devour,Winning battles grants +1 CON permanently.
9,Thorns,Casting spells inflict [Poison] on a random enemy for 2 rounds.
10,Animal Tongue,Ability to speak to animals.
11,Mending Spirit,Casting spells applies [Regeneration] to a random ally.
12,Warding,Gain 1+ warding efficiency.
13,Foresight,See enemy actions before they perform them.
14,Timezone,Short rest is considered a long rest.
15,Ward Crafter,Gain ward crafting proficiency.
16,Clarity,Gain +1 WIS.
17,Blood Draw,Dealing magic damage will heal you.
18,Sacrifice,"If you can_t spend mana to cast a spell, consume your health instaed."
19,Essence Capture,Dealing damage will heal you.
20,Witchcraft,Gain advantage and proficiency in spellcrafting and witch arts.
21,Void Blessing,"Grant summons, familiars, and constructs +1 Level."
22,Focus Point,"Grant 50% crit chance to summons, familiars, and constructs."
23,Afterlife,Enemies dying will grant you +1 CON for the duration of the battle.
24,Second Passing,"Gain -3 CON. On death, ressurect with 50% max health. Refreshes every battle."
25,Resurrection,The next ally that dies will be resurrected. Occurs once per battle.
26,Prayer,"On turn skip, grant all party members [Defense] for 1 round."
27,Lucky,Grant yourself and your allies +1 on dice rolls.
28,Absolute,"Upon dying, deal x2 [INT base] light damage on all enemies."
29,Spectrum,Critical hits on enemies will apply [Mirror] for 1 round.
30,Devotion,Gain WIS for the amount of enemies inflicted with [Stun].
31,Bow,Skipping grants you [Defense] for 1 round.
32,Wisdom Buffer,Gain 1+ WIS.
33,Continuity,Reduce Magic base damage intake by half.
34,Magic Tinkerer,Gain advantage on Magic item crafting.
35,Creativity,Gain +1 CHA.
36,Tempest,Grant yourself and your allies +1 DEX.
37,Spell Proficiency,Gain advantage on spellcrafting.
38,Spell Memory,Gain +1 INT.
39,Spellcraft,Gain advantage on spellcrafting.
40,Arrow Proficiency,Gain x2 arrows on crafting.
41,Arrow Counter,Successful dodges from you or an ally grants fire Arrow Shot.
42,Headshot,Gain 25% crit chance.
43,Quick Shot,[Stun] enemies automatically casts Open Fire on them at no cost.
44,Deck Buff,"Randomly gain [Mana Card], [Flame Card], or [Heal Card]."
45,Loot Lucky,Gain advantage while collecting loot.
46,Swift Feet,Gain advantage on dodge roles.
47,Hunting Proficiency,Gain advantage on material scavenging.
48,Lootrunner,Gain advantage on loot opening.
49,Lockpick,Gain advantage on lock picking.
50,Anxiety,"[Fear], [Stun], and [Slow] triggers Dread on the target."
51,Shadow Step,Gain +1 DEX.
52,Jackpot,"Ever 3 rounds, flip a coin to receive bonuses."
53,Grand Illusion,Party gains dodge advantage.
54,Tuning,Increased instrument mastery.
55,Natural Charm,Gain persuasion advantage.
56,Charisma Advantage,Gain +1 CHA.
57,Familiar Advancement,Grant +1 Level for familiars.
58,Dexful Hands,Gain +1 DEX.
59,Puppet Show,Gain +1 CHA for each enemy inflicted with [Strung].
60,Show Time,"Evert third ability used, enter [Stage Mode] for 3 rounds."
61,Background Track,"Every round, cleanse a random ally of one debuff, infliction, or crowd control."
62,Strong Heart,Gain [String Heart].
63,Honor,Party gains +1 STR.
64,No Weapon,Gain +1 STR and +1 CON when weapon slot is empty.
65,Inner Strength,Gain +1 STR.
66,Ki Protection,Ki grants +1 CON per stack.
67,Hard Body,Gain +1 CON.
68,Crew,Gain +1 STR for every living party member.
69,Leadership,Gain advantage on initiative roll.
70,Survivability,Party gains +1 CON.
71,Shield Proficiency,Gain Shield Level +1.
72,Holy Protection,Gain CON equal to half of base CHA.
73,Holy Spirit,Gain +1 CON.
74,Honor1,Gain CON equal to half of STR.
75,Vows,Taking damage grants [Defense] for 1 round.
76,Blade Form,Abilities grant [Bladedancer Form] until attacked.
77,Blade Stance,Having 2 stacks of [Floating Blade] grants [Defense+].
78,Learning,Party gains +1 Level.
79,Understanding,Allies gain +1 Spell Level.
80,Otherworldly,Gain double max health.
81,Doorway,Gain [Doorway].
82,Wet Floor Sign,All enemies gain [Slippery].
83,Clean,Gain immunity to inflictions and debuffs.
84,Calling,Gain CON equal to half of WIS.
85,Reply,Taking damage from enemies with [Passage] causes them to receive the same amount of damage.
